"provincia","sexo","esperanza_vida_nacer","n_personas","n_muertes"
"Almeria","Hombres",77.79,39681,4538
"Almeria","Mujeres",81.07,41536,4338
"Cadiz","Hombres",79.97,39627,4418
"Cadiz","Mujeres",85.01,43329,4038
"Cordoba","Hombres",80.12,34133,3727
"Cordoba","Mujeres",85.25,35291,3644
"Granada","Hombres",79.82,23312,2664
"Granada","Mujeres",85.1,24095,2319
"Huelva","Hombres",79.85,27992,3166
"Huelva","Mujeres",84.5,29144,3068
"Jaen","Hombres",79.73,25241,3016
"Jaen","Mujeres",84.93,26425,2695
"Malaga","Hombres",79.61,32918,3647
"Malaga","Mujeres",84.8,35089,3293
"Sevilla","Hombres",80.05,34869,3820
"Sevilla","Mujeres",85.18,36652,3489
"Ceuta","Hombres",79.75,16911,1883
"Ceuta","Mujeres",84.7,17629,1799
"Melilla","Hombres",79.77,16968,1961
"Melilla","Mujeres",85.07,17758,1760
